"DIOGENES_FOOD_CODE","COUNTRY_FOOD_CODE","FOODNAME","ENGLISH_TRANS","DIOGENES_FOOD_GRP","CHO_100G.","GI_VAL","GL","GI_CAT","SOURCE_1","SOURCE_2","COMMENT","COUNTRY"
1349,"4111020SK00000003000","brav<e8>ov<e1> pe<e8>e<f2>","Pig Liver",26.1,2.2,70,2,"5",NA,NA,"","CZECH"
1351,"4111022SK00000003000","brav<e8>ov<e9> obli<e8>ky","Pig Kidneys",26.1,0.56,70,0,"5",NA,NA,"","CZECH"
1377,"4112009SK00000003000","hov<e4>dzia svie<e8>kovica","Beef Sirloin",24.1,0.29,70,0,"5",NA,NA,"","CZECH"
1400,"4112032SK00000003004","hov<e4>dzie m<e4>so varen<e9>","Beef Meat Boiled",24.1,0.37,70,0,"5",NA,NA,"","CZECH"
1411,"4112039SK00000003004","hov<e4>dzia pe<e8>e<f2> dusen<e1>","Ox Liver Braised",26.1,3.41,70,2,"5",NA,NA,"","CZECH"
1458,"3110001SK00000003033","n<e1>tierka tvarohov<e1>","Curds Spread",30.2,3.6,34,1,"3","2",NA,"based on full fat milk","CZECH"
1461,"4642001SK00000003034","Ro<9e>ok s <be>anov<fd>mi a sezamov<fd>mi semenami 100g","Roll With Sesame And Linseeds 100G",1.1,55.59,70,39,"5",NA,NA,"","CZECH"
1462,"","Modifast polevka","Modifast",33.1,39.7,70,28,"5",NA,NA,"","CZECH"
NA,"","","",NA,NA,NA,NA,NA,NA,NA,"","CZECH"
1,"0001","Abrikos. t<f8>rret","Apricot. dried",17.2,66.5,31,21,"2","1","5","Mean of four studies: 2*apricots, dried, apricots, dried, ready to eat, bite size and apricots, dried, ready to eat.","DANISH"
2,"0002","Agurk. r<e5>","Cucumber. raw",15.1,2.1,45,1,"4","",NA,"","DANISH"
3,"0003","Ananas. r<e5>","Pineapple. raw",17.1,13,59,8,"2","1",NA,"Pineapple, raw. Mean of two studies.","DANISH"
4,"0004","Ananas. konserves","Pineapple. canned",17.3,15.5,55,9,"3","1",NA,"Based on Fruit cocktail, canned","DANISH"
5,"0005","Appelsin. r<e5>","Orange. raw",17.1,11.5,42,5,"2","1",NA,"Oranges, raw. Mean of six studies: 6*Oranges, NS.","DANISH"
8,"0008","Asparges. uspec.. r<e5>","Asparagus. all types. raw",15.1,4.2,45,2,"4","",NA,"","DANISH"
9,"0009","Asparges. konserves","Asparagus. canned",15.1,2.9,45,1,"4","",NA,"","DANISH"
10,"0010","Aubergine. r<e5>","Aubergine (eggplant). raw",15.1,5,45,2,"4","",NA,"","DANISH"
11,"0011","Avocado. r<e5>","Avocado. raw",17.1,11.7,45,5,"4","",NA,"","DANISH"
13,"0013","Svinebryst. stegestykke. helt. saltet","Pork. belly. streaky bacon. whole cut. cured. raw",24.1,0.8,70,1,"5","",NA,"","DANISH"
14,"0014","Banan. r<e5>","Banana. raw",17.1,19,52,10,"2","1",NA,"Banana, raw. Mean of ten studies.","DANISH"
15,"0015","Bladselleri. r<e5>","Celery. raw",15.1,5.2,45,2,"4","",NA,"","DANISH"
16,"0016","Blodp<f8>lse","Black pudding (boiled)",24.3,23,70,16,"5","",NA,"","DANISH"
17,"0017","Blomk<e5>l. uspec.. r<e5>","Cauliflower. all varieties. raw",15.1,4.7,45,2,"4","",NA,"","DANISH"
18,"0018","Blomme. r<e5>","Plum. raw",17.1,10.2,39,4,"2","1",NA,"Plum, raw, NS. Mean of two studies.","DANISH"
19,"0019","Bl<e6>ksprutte. r<e5>","Octopus. raw",27.3,1.5,70,1,"5","",NA,"","DANISH"
20,"0020","Bl<e5>b<e6>r. r<e5>","Bilberry. raw",17.1,11.5,45,5,"4","",NA,"","DANISH"
21,"0021","Broccoli. r<e5>","Broccoli. raw",15.1,6.1,45,3,"4","",NA,"","DANISH"
22,"0022","Bromb<e6>r. r<e5>","Blackberry. raw",17.1,9,45,4,"4","",NA,"","DANISH"
23,"0023","Br<f8>ndkarse. r<e5>","Watercress. raw",15.1,2.1,70,1,"5","",NA,"","DANISH"
24,"0024","Byggryn. r<e5>","Barley groats. raw",6.1,76.9,38,29,"2","1",NA,"Mean of 8 studies: 2*Barley pearled, 2*Barley, 2*barley(hordeum vulgare), barley cracked and barley rolled.","DANISH"
25,"0025","Hvide b<f8>nner. t<f8>rrede","Beans. white. dried",14.1,62.3,13,8,"3","1",NA,"Based on kidney/white bean, soaked, boiled 17min.","DANISH"
26,"0026","Gr<f8>nne b<f8>nner. konserves","Beans. green. canned",15.1,4.8,38,2,"3","1",NA,"Haricot and navy beans, mean of five studies: 2*Haricot and navy beans pressure cooked 25 min, Haricot and navy beans dried boiled, Haricot and navy beans boiled and Haricot and navy beans.","DANISH"
27,"0027","Gr<f8>nne b<f8>nner. dybfrost","Beans. green. frozen",15.1,7.3,38,3,"3","1",NA,"Haricot and navy beans, mean of five studies: 2*Haricot and navy beans pressure cooked 25 min, Haricot and navy beans dried boiled, Haricot and navy beans boiled and Haricot and navy beans.","DANISH"
28,"0028","Gr<f8>nne b<f8>nner. r<e5>","Beans. green. raw",15.1,5.7,38,2,"3","1",NA,"Haricot and navy beans, mean of five studies: 2*Haricot and navy beans pressure cooked 25 min, Haricot and navy beans dried boiled, Haricot and navy beans boiled and Haricot and navy beans.","DANISH"
29,"0029","B<f8>nner. brune. t<f8>rrede","Beans. brown. dried",14.1,63.4,45,29,"2","1",NA,"Mean of three Kidney beans: 2*Kidney beans, dried, boiled and Kidney beans, dried, soaked 12 h, stored moist 24 h, steamed 1 h ","DANISH"
30,"0030","Voksb<f8>nner. r<e5>","Beans. wax. raw",14.1,7.1,45,3,"4","",NA,"","DANISH"
31,"0031","Voksb<f8>nner. konserves","Beans. wax. canned",14.1,5.2,45,2,"4","",NA,"","DANISH"
32,"0032","Sojab<f8>nner. t<f8>rrede","Beans. soy. dried",14.1,34,18,6,"2","1",NA,"Soya beans, mean of 2* soya beans, dried","DANISH"
33,"0033","B<f8>nnespirer. soja. r<e5>","Beansprouts. soy. raw",15.1,5.3,45,2,"4","",NA,"","DANISH"
34,"0034","B<f8>nnespirer. soja. konserves","Beansprouts. soy. canned",15.1,3.8,45,2,"4","",NA,"","DANISH"
35,"0035","Cacao. pulver","Cocoa. powder",20.2,41.7,45,19,"4","",NA,"","DANISH"
36,"0036","Cacao. instant. uden m<e6>lk. pulver","Cocoa. instant. without milk. powder",20.2,87.4,52,45,"2","1",NA,"Mean of Quik, chocolate dissolved in water and complete hot chocolate mix made with hot water","DANISH"
37,"0037","Champignon. r<e5>","Mushroom. raw",15.1,3.4,45,2,"4","",NA,"","DANISH"
38,"0038","Fl<f8>dechokolade","Chocolate. milk",9.1,62.1,41,25,"2","1",NA,"Chocolate, milk, plain. Mean of four studies: 3* Chocolate milk and Chocolate milk plain with sucrose.  ","DANISH"
39,"0039","M<f8>rk chokolade","Chocolate. bitter",9.1,63.3,23,15,"2","5",NA,"Dove, dark chocolate","DANISH"
40,"0040","Citron. r<e5>","Lemon. raw",17.1,5.5,45,2,"4","",NA,"","DANISH"
41,"0041","Citronsaft. friskpresset","Lemon juice. fresh",18.1,8.6,50,4,"3","1",NA,"Based on mean of grapefruitjuice and orangejuice, because these are also citrusfruits. Orangejuice is based on Orange juice, mean of three studies: orange juice, orange juice, unsweetened, reconstituted concentrate and orange juice, reconstituted from fro","DANISH"
43,"0043","Cornflakes. uspec.","Cornflakes. average values",2.1,83.2,85,71,"4","",NA,"","DANISH"
44,"0044","Daddel. t<f8>rret","Date. dried",17.2,81.3,61,50,"2","1","5","Mean of three studies: Dates, dried, Dates, khalas, sun-dried, vacuum-packed and Dates, khalas, traditional dried, dark brown colour.","DANISH"
45,"0045","Dild. r<e5>","Dill. raw",32.1,7,45,3,"4","",NA,"","DANISH"
46,"0046","Eddike","Vinegar",32.4,0.6,70,0,"5","",NA,"","DANISH"
49,"0049","Fersken. r<e5>","Peach. raw",17.1,10.7,42,4,"2","1",NA,"Peaches, raw. Mean of two studies.","DANISH"
50,"0050","Fersken. konserves","Peach. canned",17.3,18.1,49,9,"2","1",NA,"Peaches, canned. Mean of five studies: 2*Peach canned in natural juice, Peach canned in heavy syrup, Peach canned in light syrup and Peach canned in reduced-sugar syrup.","DANISH"
51,"0051","Fersken. t<f8>rret","Peach. dried",17.2,83.2,63,52,"4","",NA,"","DANISH"
52,"0052","Figen. t<f8>rret","Fig. dried",17.2,65.3,61,40,"2","1",NA,"Figs dried, tenderized, Dessert made brand.","DANISH"
59,"0059","Grapefrugt. r<e5>","Grapefruit. raw",17.1,9.8,25,2,"2","1",NA,"Grapefruit, raw","DANISH"
60,"0060","Grapefrugtjuice. konserves. us<f8>det","Grapefruitjuice. canned. unswtnd.",18.1,7.9,48,4,"2","1",NA,"Grapefruit juice, unsweetened","DANISH"
61,"0061","Gr<e6>skar. r<e5>","Pumpkin. raw",15.1,4.2,75,3,"2","5",NA,"Pumpkin (South Africa)","DANISH"
62,"0062","Gr<e6>skar. konserves","Pumpkin. canned",15.1,25.6,75,19,"2","",NA,"Based on Pumpkin, raw","DANISH"
63,"0063","Gr<f8>nk<e5>l. r<e5>","Kale. raw",15.1,10.4,45,5,"4","",NA,"","DANISH"
64,"0064","Gr<f8>nk<e5>l. dybfrost","Kale. frozen",15.1,5.2,45,2,"4","",NA,"","DANISH"
65,"0065","Gulerod. uspec.. r<e5>","Carrot. raw",15.1,8.8,47,4,"2","1","5","Carrots. Mean of four studies; Carrots raw, 3*Carrots peeled boiled and Carrots NS.","DANISH"
68,"0068","Bageg<e6>r. presset. r<e5>","Yeast. baker`s. compressed",32.1,15.8,70,11,"5","",NA,"","DANISH"
71,"0071","Havregryn. beriget","Oats. rolled. enriched",2.2,68.7,61,42,"2","3",NA,"Porridge (Small oats)","DANISH"
75,"0075","Hestek<f8>d. r<e5>t","Horse. meat. raw",24.1,0.6,70,0,"5","",NA,"","DANISH"
76,"0076","Hindb<e6>r. r<e5>","Raspberry. raw",17.1,11.3,45,5,"4","",NA,"","DANISH"
77,"0077","Hjerte. kalv. r<e5>t","Heart. veal. raw",26.1,1.8,70,1,"5","",NA,"","DANISH"
78,"0078","Hjerte. h<f8>ne (kylling). r<e5>t","Heart. chicken. raw",26.1,0.7,70,0,"5","",NA,"","DANISH"
79,"0079","Hjerte. okse. r<e5>t","Heart. beef. raw",26.1,0.7,70,0,"5","",NA,"","DANISH"
80,"0080","Hjerte. svin. r<e5>t","Heart. pork. raw",26.1,0.4,70,0,"5","",NA,"","DANISH"
81,"0081","Honning","Honey",7.1,82,55,45,"2","1",NA,"Honey, Mean of elleven types of honey.","DANISH"
83,"0083","Hummer. r<e5>","Lobster. raw",27.3,0.8,70,1,"5","",NA,"","DANISH"
84,"0084","Hummer. konserves","Lobster. canned",27.3,0.3,70,0,"5","",NA,"","DANISH"
85,"0085","Hvedekim. r<e5>","Wheat germ. raw",6.1,51.3,70,36,"5","",NA,"","DANISH"
86,"0086","Hvedeklid","Wheat bran",6.1,65.1,70,46,"5","",NA,"","DANISH"
88,"0088","Hvidk<e5>l. r<e5>","Cabbage. white. raw",15.1,6.9,45,3,"4","",NA,"","DANISH"
89,"0089","Hvidl<f8>g. r<e5>","Garlic. raw",15.1,33.1,70,23,"5","",NA,"","DANISH"
90,"0090","Hvidl<f8>g. t<f8>rret. pulver","Garlic. dried. powder",32.1,72.7,70,51,"5","",NA,"","DANISH"
91,"0091","Hvidvin. medium","Wine. white. medium",22.1,2.4,70,2,"5","",NA,"","DANISH"
92,"0092","Hvidvin. s<f8>d","Wine. white. sweet",22.1,5.9,70,4,"5","",NA,"","DANISH"
93,"0093","Hvidvin. t<f8>r","Wine. white. dry",22.1,0.2,70,0,"5","",NA,"","DANISH"
94,"0094","Hyben. r<e5>","Rose hip. raw",17.1,14.7,70,10,"5","",NA,"","DANISH"
95,"0095","Hyben pulver. t<f8>rret","Rose hip. dried. powder",32.1,83,63,52,"4","",NA,"","DANISH"
96,"0096","Hyldeb<e6>r. r<e5>","Elderberry. raw",17.1,18.4,45,8,"4","",NA,"","DANISH"
100,"0100","Jordb<e6>r. r<e5>","Strawberry. raw",17.1,8.8,40,4,"2","1",NA,"Strawberries, fresh, raw.","DANISH"
101,"0101","Jordskok. r<e5>","Jerusalem artichoke. raw",15.1,14.1,63,9,"4","",NA,"","DANISH"
102,"0102","Julesalat. r<e5>","Chicory. raw",15.1,3.8,45,2,"4","",NA,"","DANISH"
103,"0103","Kaffeb<f8>nne. ristet. formalet","Coffee bean. roasted. ground",20.2,60,70,42,"5","",NA,"","DANISH"
104,"0104","Kaffe. instant. pulver","Coffee. instant. powder",20.2,61.7,70,43,"5","",NA,"","DANISH"
105,"0105","Kaffe. drikkeklar","Coffee. beverage",20.1,0.3,70,0,"5","",NA,"","DANISH"
107,"0107","Karse. frisk","Cress. garden. raw",15.1,2.8,70,2,"5","",NA,"","DANISH"
108,"0108","Kantarel. r<e5>","Chanterelle. raw",15.1,6.7,70,5,"5","",NA,"","DANISH"
115,"0115","Kartoffel. uspec.. r<e5>","Potato. raw",16.1,18.3,85,16,"4","",NA,"","DANISH"
116,"0116","Kartoffelmel","Potato flour",3.1,85.3,70,60,"5","",NA,"","DANISH"
117,"0117","Kastanje. <e6>gte. r<e5>","Chestnut. raw",15.1,40.7,70,28,"5","",NA,"","DANISH"
118,"0118","Kaviar. u<e6>gte (stenbiderrogn)","Caviar. danish (roe. lump-sucker)",27.3,0.8,70,1,"5","",NA,"","DANISH"
120,"0120","Kinak<e5>l. pe-tsai. r<e5>","Cabbage. chinese or celery. raw",15.1,3.3,45,1,"4","",NA,"","DANISH"
121,"0121","Kirseb<e6>r. r<e5>","Cherry. raw",17.1,12.2,43,5,"2","1","5","Mean of two. Cherries raw, NS and cherries, dark, raw, pitted.","DANISH"
124,"0124","Kn<e6>kbr<f8>d. rug-. fint","Crispbread. knackebrot. rye. fine",1.2,79,85,67,"4","",NA,"","DANISH"
126,"0126","Kokosmel","Coconut meat. desiccated",13.1,23.9,70,17,"5","",NA,"","DANISH"
128,"0128","Krabbe. kogt","Crab. boiled",27.3,0.5,70,0,"5","",NA,"","DANISH"
129,"0129","Krabbekl<f8>er. konserves","Crab claws. meat. canned",27.3,1.1,70,1,"5","",NA,"","DANISH"
130,"0130","Kr<e5>se. kylling. r<e5>","Gizzard. chicken. raw",26.1,0.6,70,0,"5","",NA,"","DANISH"
133,"0133","K<f8>rvel. r<e5>","Chervil. raw",32.1,3.7,45,2,"4","",NA,"","DANISH"
134,"0134","K<e5>lrabi. k<e5>lroe. r<e5>","Swede. raw",15.1,8.6,72,6,"2","1",NA,"","DANISH"
142,"0142","Lever. h<f8>ne. r<e5>","Liver. chicken (hen). raw",26.1,1.2,70,1,"5","",NA,"","DANISH"
143,"0143","Lever. kylling. r<e5>","Liver. broiler or fryer. raw",26.1,1,70,1,"5","",NA,"","DANISH"
144,"0144","Lever. kalv. r<e5>","Liver. calf. raw",26.1,4,70,3,"5","",NA,"","DANISH"
145,"0145","Lever. okse. r<e5>","Liver. ox. raw",26.1,5,70,4,"5","",NA,"","DANISH"
146,"0146","Lever. svin. r<e5>","Liver. pig. raw",26.1,2,70,1,"5","",NA,"","DANISH"
147,"0147","Linser. t<f8>rrede","Lentils. dried",14.1,59.3,28,17,"2","1",NA,"Mean between red and green lentils, dried","DANISH"
148,"0148","L<f8>g. r<e5>","Onion. raw",15.1,10,45,5,"4","",NA,"","DANISH"
149,"0149","Majroe. r<e5>","Turnip. raw",15.1,6.7,63,4,"4","",NA,"","DANISH"
150,"0150","Majskolbe. r<e5>","Sweetcorn. on-the-cob. raw",15.1,16.4,55,9,"2","1",NA,"Sweet corn on the cob, boiled 20 min","DANISH"
151,"0151","Majs. kerner. konserves","Sweetcorn. kernels. canned",15.1,21,55,12,"2","1",NA,"Sweet corn, whole kernel, canned, diet-pack, drained","DANISH"
152,"0152","Majs. kerner. dybfrost","Sweetcorn. kernels. frozen",15.1,22.6,55,12,"2","1",NA,"Sweet corn, frozen, heated in microvawe.","DANISH"
154,"0154","Sukker. st<f8>dt melis (saccharose)","Sugar. sucrose. white",7.1,99.9,68,68,"2","1",NA,"Sucrose. Mean of ten studies.","DANISH"
155,"0155","Sojamel","Soya flour. full fat",14.1,30.5,70,21,"5","",NA,"","DANISH"
156,"0156","S<f8>dm<e6>lk","Milk. whole. 3.5 % fat",29.2,4.4,34,1,"2","2",NA,"Milk, whole pasteurised, fresh, organic","DANISH"
157,"0157","A38. acidophilus tykm<e6>lk","Milk. acidophilus cultured",31.2,4.7,34,2,"3","2",NA,"Based on yoghurt, low fat, natural","DANISH"
159,"0159","Cacaom<e6>lk","Milk. with chocolate. partly skimmed. 1.5 % fat",29.1,10,29,3,"3","1",NA,"Milk, low fat, chocolate. Mean of two: Milk, low-fat, chocolate with aspartame and milk, low fat, chocolate, with sugar.","DANISH"
160,"0160","Creme fraiche 18 %","Cream. cultured. 18 % fat",29.3,3.6,34,1,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
161,"0161","Creme fraiche 38 %","Cream. cultured. 38 % fat",29.3,2.7,34,1,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
163,"0163","Fl<f8>de 9 %","Cream. 9 % fat",29.3,4.3,34,1,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
164,"0164","Fl<f8>de 18 %","Cream. 18 % fat",29.3,4.3,34,1,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
165,"0165","Fl<f8>de 13 %","Cream. 13 % fat",29.3,4.5,34,2,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
166,"0166","Fl<f8>de 38 %. piskefl<f8>de","Cream. whipping. 38 % fat",29.3,3.2,34,1,"3","2",NA,"From milk, whole pasteurised, fresh, organic","DANISH"
168,"0168","K<e6>rnem<e6>lk","Milk. buttermilk. 0.3 % fat",29.1,4.5,48,2,"3","2",NA,"Based on milk, skimmed, pasteurised, British","DANISH"
169,"0169","K<e6>rnem<e6>lk med citronsaft","Milk. buttermilk with lemon",29.1,8.4,48,4,"3","2",NA,"Based on milk, skimmed, pasteurised, British","DANISH"
170,"0170","Letm<e6>lk","Milk. partly skimmed. 1.5 % fat",29.1,4.9,34,2,"2","2",NA,"Milk, semi-skimmed, pasteurised, organic.","DANISH"
171,"0171","Champignon. konserves","Mushroom. canned",15.1,3.1,45,1,"4","",NA,"","DANISH"
172,"0172","Majsmel","Corn flour",3.1,78.7,70,55,"5","",NA,"","DANISH"
173,"0173","Majsstivelse","Corn starch",3.1,88.8,70,62,"5","",NA,"","DANISH"
174,"0174","Makaroni. spaghetti. r<e5>","Macaroni. spaghetti. raw",4.1,76,45,34,"4","",NA,"","DANISH"
178,"0178","Makrel i tomat. konserves","Mackerel. in tomato sauce. canned",27.2,0.5,70,0,"5","",NA,"","DANISH"
179,"0179","Mandarin. r<e5>","Tangerine. raw",17.1,10.9,42,5,"3","1",NA,"Based on oranges, raw. Mean of six studies: 6*Oranges, NS.","DANISH"
180,"0180","Mandarin. konserves","Tangerine. canned",17.3,14.3,55,8,"3","1",NA,"Based on fruit cocktail, canned","DANISH"
181,"0181","Mandel. r<e5>","Almond. raw",13.1,29.5,24,7,"3","2",NA,"Based on mixed nuts, roasted and salted","DANISH"
182,"0182","Hvedegryn. mannagryn","Semolina",3.1,77.7,55,43,"2","1",NA,"Based on semolina. Mean of two studies: Semolina, roasted at 105?C then gelatinized with water and semolina, steamed and gelatinized.","DANISH"
185,"0185","Netmelon. r<e5>","Muskmelon. raw",17.1,5.6,72,4,"3","1","5","Based on watermelon and rockmelon/cantaloupe. Watermelon is based on two studies: Watermelon, raw and Watermelon, raw, without seeds. Rockmelon/cantaloupe is based on Rockmelon/cantaloupe, raw.","DANISH"
186,"0186","Vandmelon. r<e5>","Watermelon. raw",17.1,8.6,76,7,"2","1","5","Watermelon, mean of two studies: Watermelon, raw and Watermelon, raw, without seeds.","DANISH"
187,"0187","Musling. r<e5>","Mussel. raw",27.3,3.3,70,2,"5","",NA,"","DANISH"
188,"0188","Musling. konserves","Mussels. in water. canned",27.3,1.9,70,1,"5","",NA,"","DANISH"
189,"0189","Nyre. kalv. r<e5>","Kidney. calf. raw",26.1,0.2,70,0,"5","",NA,"","DANISH"
190,"0190","Nyre. okse. r<e5>","Kidney. ox. raw",26.1,0.9,70,1,"5","",NA,"","DANISH"
191,"0191","Nyre. svin. r<e5>","Kidney. pig. raw",26.1,1.1,70,1,"5","",NA,"","DANISH"
192,"0192","Hasseln<f8>d. t<f8>rret","Nut. hazel (UK). filbert (USA). dried",13.1,29.3,24,7,"3","2",NA,"Based on mixed nuts, roasted and salted","DANISH"
193,"0193","Jordn<f8>d. t<f8>rret","Nut. pea. dried",13.1,28.4,24,7,"3","2",NA,"Based on mixed nuts, roasted and salted","DANISH"
194,"0194","Peanuts. (jordn<f8>d. ristet og saltet)","Nut. pea. oilroasted and salted",13.1,17.1,25,4,"3","1","5","Based on mean of cashewnuts and mixed nuts, roasted and saltet","DANISH"
195,"0195","Jordn<f8>ddesm<f8>r","Peanut butter",32.1,18.8,23,4,"2","1",NA,"","DANISH"
196,"0196","Kokosn<f8>d. r<e5>","Nut. coco. raw",13.1,14.9,70,10,"5","",NA,"","DANISH"
197,"0197","Paran<f8>d","Brazil nuts",13.1,13.8,14,2,"3","1",NA,"Based on peanuts, mean of three studies: Peanuts, crushed, peanuts from canada and peanuts from mexico","DANISH"
198,"0198","Valn<f8>d","Walnuts",13.1,16.2,24,4,"3","2",NA,"Based on mixed nuts, roasted and salted","DANISH"
203,"0203","Oliven. gr<f8>nne. marinerede. konserves","Olives. green. pickled. canned",15.1,7.6,45,3,"4","",NA,"","DANISH"
204,"0204","Oliven. sorte. saltede. i olie","Olives. ripe. salted. oil-coated",17.3,8.7,45,4,"4","",NA,"","DANISH"
205,"0205","Pastinak. r<e5>","Parsnip. raw",15.1,14.6,97,14,"2","1",NA,"based on cooked value","DANISH"
206,"0206","Peberfrugt. gr<f8>n. r<e5>","Pepper. sweet. green. raw",15.1,4.6,45,2,"4","",NA,"","DANISH"
207,"0207","Peberfrugt. r<f8>d. r<e5>","Pepper. sweet. red. raw",15.1,6.2,45,3,"4","",NA,"","DANISH"
208,"0208","Peberrod. r<e5>","Horse-radish. raw",15.1,20.5,45,9,"4","",NA,"","DANISH"
209,"0209","Persille. r<e5>","Parsley. raw",32.1,8,45,4,"4","",NA,"","DANISH"
210,"0210","Persillerod. r<e5>","Parsley root. raw",15.1,12.3,70,9,"5","",NA,"","DANISH"
212,"0212","Porre. r<e5>","Leek. raw",15.1,7.7,45,3,"4","",NA,"","DANISH"
213,"0213","Purl<f8>g. r<e5>","Chives. raw",32.1,4,45,2,"4","",NA,"","DANISH"
214,"0214","P<e6>re. r<e5>","Pear. raw",17.1,14.1,38,5,"2","1",NA,"Pear, raw. Mean of four: 2*pear, raw, NS, Pear, winter, nellis, raw and Pear, barlett, raw.","DANISH"
215,"0215","P<e6>re. konserves","Pear. canned",17.3,18.2,37,7,"2","1",NA,"Mean of three studies: Pear halves canned in reduced-sugar syrup, pear halves canned in natural juice and pears canned in pear juice Bartlett.","DANISH"
216,"0216","Rabarber. r<e5>","Rhubarb. raw",17.1,6.8,45,3,"4","",NA,"","DANISH"
217,"0217","Radise. r<e5>","Radish. raw",15.1,2.5,45,1,"4","",NA,"","DANISH"
219,"0219","Reje. konserves","Shrimp. canned",27.3,0.8,70,1,"5","",NA,"","DANISH"
220,"0220","Ribs. r<e5>","Currant. red. raw",17.1,13.4,45,6,"4","",NA,"","DANISH"
221,"0221","Ris. brune. r<e5>","Rice. brown. raw",6.1,76.6,55,42,"2","1",NA,"","DANISH"
222,"0222","Rismel","Rice flour",3.1,80.1,70,56,"5","",NA,"","DANISH"
223,"0223","Ris. parboiled. r<e5>","Rice. parboiled. raw",6.1,79.8,68,54,"1","11",NA,"","DANISH"
224,"0224","Ris. polerede. r<e5>","Rice. polished. raw",6.1,79,63,50,"4","",NA,"","DANISH"
225,"0225","Rosenk<e5>l. uspec.. r<e5>","Brussels sprouts. raw",15.1,9.6,45,4,"4","",NA,"","DANISH"
226,"0226","Rosenk<e5>l. dybfrost","Brussels sprout. frozen",15.1,9.5,45,4,"4","",NA,"","DANISH"
227,"0227","Rosin uden kerner","Raisin . seedless",17.2,78,64,50,"2","1",NA,"Raisins (Canada)","DANISH"
231,"0231","R<e6>ddike. r<e5>","Radish. white. raw",15.1,3.8,45,2,"4","",NA,"","DANISH"
232,"0232","R<f8>dbede. r<e5>","Beet. red. raw",15.1,11.4,64,7,"2","1",NA,"Beetroot","DANISH"
233,"0233","R<f8>dbede. konserves","Beet. red. canned",15.1,14.4,64,9,"2","1",NA,"","DANISH"
234,"0234","R<f8>dk<e5>l. r<e5>","Cabbage. red. raw",15.1,6.5,45,3,"4","",NA,"","DANISH"
235,"0235","R<f8>dk<e5>l. konserves","Cabbage. red. canned",15.1,18.4,45,8,"4","",NA,"","DANISH"
237,"0237","R<f8>dvin","Wine. red",22.1,1.5,70,1,"5","",NA,"","DANISH"
238,"0238","Sagogryn (kartoffelstivelse)","Pearl-sago (potato starch)",3.1,88.1,96,85,"3","3",NA,"Potatoes. Boiled old white potatoes","DANISH"
239,"0239","Salat. hovedsalat. r<e5>","Butterhead lettuce (US). cabbage lettuce (UK). raw",15.1,4,45,2,"4","",NA,"","DANISH"
243,"0243","Selleri. rod. r<e5>","Celeriac. celery root. raw",15.1,8.2,63,5,"4","",NA,"","DANISH"
244,"0244","Sild. marineret","Herring. pickled. canned",27.2,18.8,70,13,"5","",NA,"","DANISH"
251,"0251","Skummetm<e6>lk","Milk. skimmed",29.1,4.7,48,2,"2","2",NA,"Milk, skimmed, pasteurised, British","DANISH"
252,"0252","Brie. 50+","Cheese. Brie. 50 % fidm.",30.3,0.2,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
253,"0253","Camembert. 50+","Cheese. Camembert. 50 % fidm.",30.3,0.2,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
254,"0254","Roquefort. 50+","Cheese. Roquefort. danish. 50 % fidm.",30.3,1,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
255,"0255","Ost. fast. 20+. alle typer","Cheese. firm. 20 % fidm.. all varieties",30.2,1.4,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
256,"0256","Ost. fast. 30+. alle typer","Cheese. firm. 30 % fidm.. all varieties",30.2,1.1,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
257,"0257","Ost. fast. 40+. alle typer","Cheese. firm. 40 % fidm.. all varieties",30.3,1.4,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
258,"0258","Ost. fast. 45+. alle typer","Cheese. firm. 45 % fidm.. all varieties",30.3,0.9,34,0,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
259,"0259","Parmesan. 32+","Cheese. hard. Parmesan. 32 % fidm.",30.3,1.5,34,1,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
260,"0260","Hytteost. 20+","Cheese. cottage. 20 % fidm.",30.2,1.5,34,1,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
261,"0261","Kvark. 5+","Cheese. Quarg. 5 % fidm.",30.1,3.5,34,1,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
262,"0262","Myseost. 33+","Cheese. whey. Myseost. 33 % fidm.",30.3,33.3,34,11,"3","2",NA,"Based on milk, whole pasteurised, fresh, organic","DANISH"
